,Scheme,Version,Problem,Level,Variant,Implementation,Key Generation [bytes],Sign [bytes],Verify [bytes]
0,cross,2.0,sdp,1,balance,light,8200,210008,113184
1,cross,2.0,sdp,1,balance,ref,8112,210016,113184
2,cross,2.0,sdp,1,fast,light,8200,116216,56728
3,cross,2.0,sdp,1,fast,ref,8112,116224,56720
4,cross,2.0,sdp,1,small,light,8200,421392,223840
5,cross,2.0,sdp,1,small,ref,8112,421392,223832
6,cross,2.0,sdp,3,balance,light,16984,463376,248804
7,cross,2.0,sdp,3,balance,ref,16832,463484,248804
8,cross,2.0,sdp,3,fast,light,16984,257976,124648
9,cross,2.0,sdp,3,fast,ref,16832,257976,124648
10,cross,2.0,sdp,3,small,light,0,0,0
11,cross,2.0,sdp,3,small,ref,0,0,0
12,cross,2.0,sdp,5,balance,light,0,0,0
13,cross,2.0,sdp,5,balance,ref,0,0,0
14,cross,2.0,sdp,5,fast,light,29808,463008,222424
15,cross,2.0,sdp,5,fast,ref,29624,463008,222424
16,cross,2.0,sdp,5,small,light,0,0,0
17,cross,2.0,sdp,5,small,ref,0,0,0
18,cross,2.0,sdpg,1,balance,light,4088,156736,94264
19,cross,2.0,sdpg,1,balance,ref,3984,156712,94372
20,cross,2.0,sdpg,1,fast,light,4088,77792,42184
21,cross,2.0,sdpg,1,fast,ref,3984,77768,42168
22,cross,2.0,sdpg,1,small,light,4088,309616,184740
23,cross,2.0,sdpg,1,small,ref,3984,309608,184632
24,cross,2.0,sdpg,3,balance,light,7592,240912,145048
25,cross,2.0,sdpg,3,balance,ref,7440,240896,145156
26,cross,2.0,sdpg,3,fast,light,7592,170440,91320
27,cross,2.0,sdpg,3,fast,ref,7440,170424,91312
28,cross,2.0,sdpg,3,small,light,7592,453184,270912
29,cross,2.0,sdpg,3,small,ref,7440,453168,270912
30,cross,2.0,sdpg,5,balance,light,11864,423240,255876
31,cross,2.0,sdpg,5,balance,ref,11776,423232,255760
32,cross,2.0,sdpg,5,fast,light,11864,300712,159872
33,cross,2.0,sdpg,5,fast,ref,11776,300704,159872
34,cross,2.0,sdpg,5,small,light,0,0,0
35,cross,2.0,sdpg,5,small,ref,0,0,0
