Speed Evaluation,,,,,,,,,,
Key Encapsulation Schemes,,,,,,,,,,
Scheme,Implementation,Key Generation [cycles] (mean),Key Generation [cycles] (min),Key Generation [cycles] (max),Encapsulation [cycles] (mean),Encapsulation [cycles] (min),Encapsulation [cycles] (max),Decapsulation [cycles] (mean),Decapsulation [cycles] (min),Decapsulation [cycles] (max)
Signature Schemes,,,,,,,,,,
Scheme,Implementation,Key Generation [cycles] (mean),Key Generation [cycles] (min),Key Generation [cycles] (max),Sign [cycles] (mean),Sign [cycles] (min),Sign [cycles] (max),Verify [cycles] (mean),Verify [cycles] (min),Verify [cycles] (max)
Memory Evaluation,,,,,,,,,,
Key Encapsulation Schemes,,,,,,,,,,
Scheme,Implementation,Key Generation [bytes],Encapsulation [bytes],Decapsulation [bytes],,,,,,
Signature Schemes,,,,,,,,,,
Scheme,Implementation,Key Generation [bytes],Sign [bytes],Verify [bytes],,,,,,
crossv1.2-sha3-r-sdp-1-balance,ref,4232,99368,33480,,,,,,
crossv1.2-sha3-r-sdp-1-small,profile,4240,351824,108788,,,,,,
crossv1.2-sha3-r-sdp-1-small,ref,4232,351800,108780,,,,,,
crossv1.2-sha3-r-sdp-3-balance,ref,8352,227536,73580,,,,,,
crossv1.2-sha3-r-sdp-3-small,ref,8352,514128,157796,,,,,,
crossv1.2-sha3-r-sdp-5-balance,ref,14368,386672,121688,,,,,,
crossv1.2-sha3-r-sdp-5-small,ref,0,0,0,,,,,,
crossv1.2-sha3-r-sdpg-1-balance,ref,2216,76856,31128,,,,,,
crossv1.2-sha3-r-sdpg-1-small,ref,2216,263152,98660,,,,,,
crossv1.2-sha3-r-sdpg-3-balance,ref,3936,118320,48336,,,,,,
crossv1.2-sha3-r-sdpg-3-small,ref,3936,416968,155236,,,,,,
crossv1.2-sha3-r-sdpg-5-balance,ref,6296,215384,84352,,,,,,
crossv1.2-sha3-r-sdpg-5-small,ref,6296,577256,214100,,,,,,
crossv2.0-sha3-r-sdp-1-balance,ref,8112,210000,113160,,,,,,
crossv2.0-sha3-r-sdp-1-small,ref,8112,421384,223816,,,,,,
crossv2.0-sha3-r-sdp-3-balance,ref,16840,463376,248672,,,,,,
crossv2.0-sha3-r-sdp-3-small,ref,0,0,0,,,,,,
crossv2.0-sha3-r-sdp-5-balance,ref,0,0,0,,,,,,
crossv2.0-sha3-r-sdp-5-small,ref,0,0,0,,,,,,
crossv2.0-sha3-r-sdpg-1-balance,ref,3952,156688,94356,,,,,,
crossv2.0-sha3-r-sdpg-1-small,ref,3952,309592,184616,,,,,,
crossv2.0-sha3-r-sdpg-3-balance,ref,7416,240880,145148,,,,,,
crossv2.0-sha3-r-sdpg-3-small,ref,7416,453160,270904,,,,,,
crossv2.0-sha3-r-sdpg-5-balance,ref,11752,423232,255752,,,,,,
crossv2.0-sha3-r-sdpg-5-small,ref,0,0,0,,,,,,
Hashing Evaluation,,,,,,,,,,
Key Encapsulation Schemes,,,,,,,,,,
Scheme,Implementation,Key Generation [%],Encapsulation [%],Decapsulation [%],,,,,,
Signature Schemes,,,,,,,,,,
Scheme,Implementation,Key Generation [%],Sign [%],Verify [%],,,,,,
Size Evaluation,,,,,,,,,,
Key Encapsulation Schemes,,,,,,,,,,
Scheme,Implementation,.text [bytes],.data [bytes],.bss [bytes],Total [bytes],,,,,
Signature Schemes,,,,,,,,,,
Scheme,Implementation,.text [bytes],.data [bytes],.bss [bytes],Total [bytes],,,,,
